Pp(a)= 0.08 (9950 / 130135)
Pp(b)= 0.01 (1830 / 130135)
Pp(c)= 0.02 (2606 / 130135)
Pp(d)= 0.04 (5025 / 130135)
Pp(e)= 0.11 (14960 / 130135)
Pp(f)= 0.02 (2698 / 130135)
Pp(g)= 0.02 (2420 / 130135)
Pp(h)= 0.07 (8731 / 130135)
Pp(i)= 0.07 (8511 / 130135)
Pp(j)= 0.00 (110 / 130135)
Pp(k)= 0.01 (1272 / 130135)
Pp(l)= 0.04 (5847 / 130135)
Pp(m)= 0.03 (4253 / 130135)
Pp(n)= 0.06 (8297 / 130135)
Pp(o)= 0.09 (11218 / 130135)
Pp(p)= 0.02 (2016 / 130135)
Pp(q)= 0.00 (220 / 130135)
Pp(r)= 0.06 (7777 / 130135)
Pp(s)= 0.06 (8379 / 130135)
Pp(t)= 0.09 (11863 / 130135)
Pp(u)= 0.03 (4343 / 130135)
Pp(v)= 0.01 (1222 / 130135)
Pp(w)= 0.02 (3132 / 130135)
Pp(x)= 0.00 (179 / 130135)
Pp(y)= 0.02 (3204 / 130135)
Pp(z)= 0.00 (72 / 130135)
Pp(a|a)=0.08  Pp(a|b)=0.08  Pp(a|c)=0.08  Pp(a|d)=0.08  Pp(a|e)=0.07  Pp(a|f)=0.07  Pp(a|g)=0.08  Pp(a|h)=0.08  Pp(a|i)=0.07  Pp(a|j)=0.07  Pp(a|k)=0.08  Pp(a|l)=0.07  Pp(a|m)=0.07  Pp(a|n)=0.08  Pp(a|o)=0.07  Pp(a|p)=0.08  Pp(a|q)=0.08  Pp(a|r)=0.08  Pp(a|s)=0.08  Pp(a|t)=0.07  Pp(a|u)=0.08  Pp(a|v)=0.07  Pp(a|w)=0.07  Pp(a|x)=0.08  Pp(a|y)=0.09  Pp(a|z)=0.08  
Pp(l|a)=0.05  Pp(l|b)=0.05  Pp(l|c)=0.04  Pp(l|d)=0.04  Pp(l|e)=0.04  Pp(l|f)=0.04  Pp(l|g)=0.05  Pp(l|h)=0.04  Pp(l|i)=0.04  Pp(l|j)=0.05  Pp(l|k)=0.05  Pp(l|l)=0.04  Pp(l|m)=0.04  Pp(l|n)=0.04  Pp(l|o)=0.04  Pp(l|p)=0.05  Pp(l|q)=0.05  Pp(l|r)=0.05  Pp(l|s)=0.04  Pp(l|t)=0.05  Pp(l|u)=0.05  Pp(l|v)=0.05  Pp(l|w)=0.04  Pp(l|x)=0.04  Pp(l|y)=0.04  Pp(l|z)=0.04  
Pp(m|a)=0.03  Pp(m|b)=0.03  Pp(m|c)=0.03  Pp(m|d)=0.03  Pp(m|e)=0.03  Pp(m|f)=0.04  Pp(m|g)=0.03  Pp(m|h)=0.03  Pp(m|i)=0.03  Pp(m|j)=0.03  Pp(m|k)=0.03  Pp(m|l)=0.03  Pp(m|m)=0.03  Pp(m|n)=0.03  Pp(m|o)=0.03  Pp(m|p)=0.03  Pp(m|q)=0.03  Pp(m|r)=0.03  Pp(m|s)=0.03  Pp(m|t)=0.04  Pp(m|u)=0.03  Pp(m|v)=0.03  Pp(m|w)=0.03  Pp(m|x)=0.03  Pp(m|y)=0.04  Pp(m|z)=0.03  
Pp(n|a)=0.06  Pp(n|b)=0.06  Pp(n|c)=0.07  Pp(n|d)=0.06  Pp(n|e)=0.07  Pp(n|f)=0.06  Pp(n|g)=0.06  Pp(n|h)=0.06  Pp(n|i)=0.06  Pp(n|j)=0.07  Pp(n|k)=0.06  Pp(n|l)=0.07  Pp(n|m)=0.06  Pp(n|n)=0.06  Pp(n|o)=0.07  Pp(n|p)=0.07  Pp(n|q)=0.06  Pp(n|r)=0.06  Pp(n|s)=0.06  Pp(n|t)=0.07  Pp(n|u)=0.06  Pp(n|v)=0.06  Pp(n|w)=0.07  Pp(n|x)=0.07  Pp(n|y)=0.07  Pp(n|z)=0.06  
Pp(o|a)=0.09  Pp(o|b)=0.09  Pp(o|c)=0.09  Pp(o|d)=0.08  Pp(o|e)=0.09  Pp(o|f)=0.09  Pp(o|g)=0.09  Pp(o|h)=0.08  Pp(o|i)=0.09  Pp(o|j)=0.09  Pp(o|k)=0.09  Pp(o|l)=0.09  Pp(o|m)=0.09  Pp(o|n)=0.08  Pp(o|o)=0.08  Pp(o|p)=0.09  Pp(o|q)=0.08  Pp(o|r)=0.09  Pp(o|s)=0.09  Pp(o|t)=0.09  Pp(o|u)=0.09  Pp(o|v)=0.09  Pp(o|w)=0.09  Pp(o|x)=0.08  Pp(o|y)=0.08  Pp(o|z)=0.08  
Pp(p|a)=0.02  Pp(p|b)=0.01  Pp(p|c)=0.02  Pp(p|d)=0.01  Pp(p|e)=0.02  Pp(p|f)=0.02  Pp(p|g)=0.02  Pp(p|h)=0.02  Pp(p|i)=0.02  Pp(p|j)=0.01  Pp(p|k)=0.02  Pp(p|l)=0.02  Pp(p|m)=0.01  Pp(p|n)=0.01  Pp(p|o)=0.02  Pp(p|p)=0.02  Pp(p|q)=0.01  Pp(p|r)=0.01  Pp(p|s)=0.02  Pp(p|t)=0.02  Pp(p|u)=0.02  Pp(p|v)=0.02  Pp(p|w)=0.02  Pp(p|x)=0.02  Pp(p|y)=0.02  Pp(p|z)=0.01  
Pp(q|a)=0.00  Pp(q|b)=0.00  Pp(q|c)=0.00  Pp(q|d)=0.00  Pp(q|e)=0.00  Pp(q|f)=0.00  Pp(q|g)=0.00  Pp(q|h)=0.00  Pp(q|i)=0.00  Pp(q|j)=0.00  Pp(q|k)=0.00  Pp(q|l)=0.00  Pp(q|m)=0.00  Pp(q|n)=0.00  Pp(q|o)=0.00  Pp(q|p)=0.00  Pp(q|q)=0.00  Pp(q|r)=0.00  Pp(q|s)=0.00  Pp(q|t)=0.00  Pp(q|u)=0.00  Pp(q|v)=0.00  Pp(q|w)=0.00  Pp(q|x)=0.00  Pp(q|y)=0.00  Pp(q|z)=0.00  
Pp(r|a)=0.05  Pp(r|b)=0.06  Pp(r|c)=0.06  Pp(r|d)=0.07  Pp(r|e)=0.07  Pp(r|f)=0.06  Pp(r|g)=0.06  Pp(r|h)=0.06  Pp(r|i)=0.06  Pp(r|j)=0.06  Pp(r|k)=0.06  Pp(r|l)=0.05  Pp(r|m)=0.06  Pp(r|n)=0.06  Pp(r|o)=0.06  Pp(r|p)=0.06  Pp(r|q)=0.06  Pp(r|r)=0.06  Pp(r|s)=0.06  Pp(r|t)=0.06  Pp(r|u)=0.06  Pp(r|v)=0.06  Pp(r|w)=0.06  Pp(r|x)=0.06  Pp(r|y)=0.07  Pp(r|z)=0.06  
Pp(s|a)=0.06  Pp(s|b)=0.07  Pp(s|c)=0.06  Pp(s|d)=0.06  Pp(s|e)=0.06  Pp(s|f)=0.07  Pp(s|g)=0.06  Pp(s|h)=0.06  Pp(s|i)=0.07  Pp(s|j)=0.06  Pp(s|k)=0.06  Pp(s|l)=0.07  Pp(s|m)=0.06  Pp(s|n)=0.06  Pp(s|o)=0.07  Pp(s|p)=0.07  Pp(s|q)=0.06  Pp(s|r)=0.06  Pp(s|s)=0.06  Pp(s|t)=0.07  Pp(s|u)=0.07  Pp(s|v)=0.07  Pp(s|w)=0.07  Pp(s|x)=0.07  Pp(s|y)=0.07  Pp(s|z)=0.06  
Pp(t|a)=0.10  Pp(t|b)=0.09  Pp(t|c)=0.09  Pp(t|d)=0.10  Pp(t|e)=0.10  Pp(t|f)=0.09  Pp(t|g)=0.09  Pp(t|h)=0.09  Pp(t|i)=0.09  Pp(t|j)=0.09  Pp(t|k)=0.09  Pp(t|l)=0.09  Pp(t|m)=0.09  Pp(t|n)=0.09  Pp(t|o)=0.09  Pp(t|p)=0.09  Pp(t|q)=0.09  Pp(t|r)=0.09  Pp(t|s)=0.09  Pp(t|t)=0.08  Pp(t|u)=0.09  Pp(t|v)=0.10  Pp(t|w)=0.09  Pp(t|x)=0.09  Pp(t|y)=0.09  Pp(t|z)=0.09  
Pp(u|a)=0.03  Pp(u|b)=0.03  Pp(u|c)=0.04  Pp(u|d)=0.04  Pp(u|e)=0.03  Pp(u|f)=0.03  Pp(u|g)=0.03  Pp(u|h)=0.03  Pp(u|i)=0.03  Pp(u|j)=0.03  Pp(u|k)=0.03  Pp(u|l)=0.03  Pp(u|m)=0.03  Pp(u|n)=0.04  Pp(u|o)=0.03  Pp(u|p)=0.04  Pp(u|q)=0.04  Pp(u|r)=0.03  Pp(u|s)=0.03  Pp(u|t)=0.04  Pp(u|u)=0.04  Pp(u|v)=0.03  Pp(u|w)=0.03  Pp(u|x)=0.03  Pp(u|y)=0.03  Pp(u|z)=0.04  
Pp(v|a)=0.01  Pp(v|b)=0.01  Pp(v|c)=0.01  Pp(v|d)=0.01  Pp(v|e)=0.01  Pp(v|f)=0.01  Pp(v|g)=0.01  Pp(v|h)=0.01  Pp(v|i)=0.01  Pp(v|j)=0.01  Pp(v|k)=0.01  Pp(v|l)=0.01  Pp(v|m)=0.01  Pp(v|n)=0.01  Pp(v|o)=0.01  Pp(v|p)=0.01  Pp(v|q)=0.01  Pp(v|r)=0.01  Pp(v|s)=0.01  Pp(v|t)=0.01  Pp(v|u)=0.01  Pp(v|v)=0.01  Pp(v|w)=0.01  Pp(v|x)=0.01  Pp(v|y)=0.01  Pp(v|z)=0.01  
Pp(w|a)=0.02  Pp(w|b)=0.03  Pp(w|c)=0.02  Pp(w|d)=0.02  Pp(w|e)=0.02  Pp(w|f)=0.03  Pp(w|g)=0.02  Pp(w|h)=0.02  Pp(w|i)=0.02  Pp(w|j)=0.02  Pp(w|k)=0.03  Pp(w|l)=0.02  Pp(w|m)=0.03  Pp(w|n)=0.02  Pp(w|o)=0.03  Pp(w|p)=0.02  Pp(w|q)=0.02  Pp(w|r)=0.03  Pp(w|s)=0.02  Pp(w|t)=0.02  Pp(w|u)=0.03  Pp(w|v)=0.03  Pp(w|w)=0.03  Pp(w|x)=0.02  Pp(w|y)=0.02  Pp(w|z)=0.02  
Pp(x|a)=0.00  Pp(x|b)=0.00  Pp(x|c)=0.00  Pp(x|d)=0.00  Pp(x|e)=0.00  Pp(x|f)=0.00  Pp(x|g)=0.00  Pp(x|h)=0.00  Pp(x|i)=0.00  Pp(x|j)=0.00  Pp(x|k)=0.00  Pp(x|l)=0.00  Pp(x|m)=0.00  Pp(x|n)=0.00  Pp(x|o)=0.00  Pp(x|p)=0.00  Pp(x|q)=0.00  Pp(x|r)=0.00  Pp(x|s)=0.00  Pp(x|t)=0.00  Pp(x|u)=0.00  Pp(x|v)=0.00  Pp(x|w)=0.00  Pp(x|x)=0.00  Pp(x|y)=0.00  Pp(x|z)=0.00  
Pp(y|a)=0.03  Pp(y|b)=0.03  Pp(y|c)=0.02  Pp(y|d)=0.03  Pp(y|e)=0.03  Pp(y|f)=0.02  Pp(y|g)=0.03  Pp(y|h)=0.03  Pp(y|i)=0.03  Pp(y|j)=0.03  Pp(y|k)=0.02  Pp(y|l)=0.02  Pp(y|m)=0.03  Pp(y|n)=0.02  Pp(y|o)=0.02  Pp(y|p)=0.02  Pp(y|q)=0.03  Pp(y|r)=0.02  Pp(y|s)=0.03  Pp(y|t)=0.02  Pp(y|u)=0.02  Pp(y|v)=0.03  Pp(y|w)=0.02  Pp(y|x)=0.02  Pp(y|y)=0.02  Pp(y|z)=0.02  
Pp(z|a)=0.00  Pp(z|b)=0.00  Pp(z|c)=0.00  Pp(z|d)=0.00  Pp(z|e)=0.00  Pp(z|f)=0.00  Pp(z|g)=0.00  Pp(z|h)=0.00  Pp(z|i)=0.00  Pp(z|j)=0.00  Pp(z|k)=0.00  Pp(z|l)=0.00  Pp(z|m)=0.00  Pp(z|n)=0.00  Pp(z|o)=0.00  Pp(z|p)=0.00  Pp(z|q)=0.00  Pp(z|r)=0.00  Pp(z|s)=0.00  Pp(z|t)=0.00  Pp(z|u)=0.00  Pp(z|v)=0.00  Pp(z|w)=0.00  Pp(z|x)=0.00  Pp(z|y)=0.00  Pp(z|z)=0.00  
